제품코드	제품명	제조		사용		제품입고(6/28 통보)		"자재
확보일"		QC	제품입고(6/24 통보)				
ABM0001S00	프로테스칼 5.0mL	ABM21002	2021.06.07	2023.06.06	2.00 	1,593 	8/30	7/2 발주요청	태국 9월 물량과 함께 멸균	2021/7/10	BP210646				
RFV0001S00	폴리트롭 PS주 300IU	RFV21009	2021.07.12	2024.07.11	3.00 	13,067 	9/8	7/12 발주요청	10월 태국 수출물량 2005syr 제외	BP210670					
RFW0001S00	폴리트롭 PS주 225IU	RFW21007	2021.06.22	2024.06.21	3.00 	19,801 	8/25	포장기록서 발행	#REF!	BP210645					
SIH0001S00	시노비안	SIH21036	2021.06.30	2023.06.29	2.00 	4,633 	8/25	포장기록서 발행	#REF!	BP210643					
RFT0001S00	폴리트롭 PS주 150IU	RFT21009	2021.07.08	2024.07.07	3.00 	29,100 	8/27	7/12 발주요청	#REF!	BP210668					
HIR0005S00	히루안주	HIR21006	2021.06.28	2024.06.27	3.00 	27,124 	8/27	6/28 발주요청	#REF!	BP210629					
SIH0001S00	시노비안	SIH21037	2021.07.01	2023.06.30	2.00 	9,393 	8/30	7/2 발주요청	#REF!	BP210644					
ABN0001S00	프로테스칼 1.5mL	ABN21001	2021.02.25	2023.02.24	2.00 	3,416 	9/1	포장기록서 발행	#REF!	BP210590					
SIH0001S00	시노비안	SIH21026	2021.05.20	2023.05.19	2.00 	9,365 	9/1	포장기록서 발행	PV1, 포장 후 출하대기!!(PV보고서 완료 후 출하)	BP210627					
ABM0001S00	프로테스칼 5.0mL	ABM21002	2021.06.07	2023.06.06	2.00 	1,563 	9/2	포장기록서 발행	멸균발송일	BP210646					
IVP1001S00	이브아르볼륨플러스	IVP21006	2021.05.06	2023.05.05	2.00 	3,491 	9/3	7/2 발주요청		BP210647					
IVP1001S00	이브아르볼륨플러스	IVP21007	2021.05.13	2023.05.12	2.00 	8,000 	9/3	7/2 발주요청		BP210648					
HIC0001S00	히알플러스 0.95mL 1S	HIC21004	2021.07.01	2024.06.30	3.00 	20,609 	9/6	7/12 발주요청		BP210669					
IVS2001S00	와이솔루션 540	IVS21002	2021.07.12	2023.07.11	2.00 	6,000 	9/6	7/12 발주요청	보안라벨 불량으로 반품_8/12	BP210671					
SIH0001S00	시노비안	SIH21038	2021.07.06	2023.07.05	2.00 	9,372 	9/7	7/12 발주요청	PV2, 포장 후 출하대기!!(PV보고서 완료 후 출하)	BP210672					
RFV0001S00	폴리트롭 PS주 300IU	RFV21009	2021.07.12	2024.07.11	3.00 	13,067 	9/8	7/12 발주요청	10월 태국 수출물량 2005syr 제외	BP210670					
SIH0001S00	시노비안	SIH21039	2021.07.08	2023.07.07	2.00 	9,104 	9/13	7/12 발주요청	PV3, 포장 후 출하대기!!(PV보고서 완료 후 출하)	BP210673					
SIH0001S00	시노비안	SIH21040	2021.07.13	2023.07.12	2.00 	9,270 	9/17	7/23 발주요청	PV4, 포장 후 출하대기!!(PV보고서 완료 후 출하)	BP210719					
ICK1001S00	이브아르클래식플러스	ICK21003	2021.04.29	2023.04.28	2.00 	12,079 	9/17	7/23 발주요청		BP210721					
SIH0001S00	시노비안	SIH21041	2021.07.20	2023.07.19	2.00 	9,500 	9/29	7/23 발주요청		BP210720					
HIB0001S00	히알2000주 0.85mL 1S	HIB20002	2020.12.23	2023.12.22	3.00 	7,084 	9/30	7/23 발주요청	기존 위생지 사용(변경 시 재고 약 8롤 폐기 예정	BP210722					
SIH0001S00	시노비안	SIH20058	2020.11.30	2022.11.29	2.00 	150 	10/5	8/13 발주요청	중국 샘플(내수와 동일하게 포장),마곡 송부	BP210762					
SIH0001S00	시노비안	SIH21003	2021.01.27	2023.01.26	2.00 	150 	10/5	8/13 발주요청	중국 샘플(내수와 동일하게 포장),마곡 송부	BP210763					
SIH0001S00	시노비안	SIH21005	2021.02.03	2023.02.02	2.00 	150 	10/5	8/13 발주요청	중국 샘플(내수와 동일하게 포장),마곡 송부	BP210764					
SIH0001S00	시노비안	SIH21043	2021.08.10	2023.08.09	2.00 	9,500 	10/5	8/13 발주요청		BP210759					
HIR0005S00	히루안주	HIR21007	2021.08.12	2024.08.11	3.00 	27,600 	10/5	8/13 발주요청		BP210757					
IVL1001S00	이브아르컨투어플러스	IVL21004	2021.08.13	2023.08.12	2.00 	10,000 	10/5	8/13 발주요청		BP210766					
IVP1001S00	이브아르볼륨플러스	IVP21007	2021.05.13	2023.05.12	2.00 	4,700 	10/6	8/13 발주요청		BP210758					
SIH0001S00	시노비안	SIH21044	2021.08.12	2023.08.11	2.00 	9,500 	10/8	8/13 발주요청		BP210760					
ABM0001S00	프로테스칼 5.0mL	ABM21003	2021.08.09	2023.08.08	2.00 	5,616 	10/12	8/13 발주요청	멸균발송일	BP210761					
IVP1001S00	이브아르볼륨플러스	IVP21008	2021.08.13	2023.08.12	2.00 	20,000 	12/15	8/13 발주요청	PV1, 일탈발생으로 출하 연기(12월 예상), 자재예약생성해 놓을 것	BP210767					
RFU0001S00	폴리트롭 PS주 75IU	RFU21006	2021.08.24	2024.08.23	3.00 	12,000 	10/8	8/24 발주요청		BP210793					
ISP2001S00	와이솔루션360	ISP21002	2021.08.23	2023.01.22	1.42 	4,000 	10/12	8/24 발주요청		BP210794					
SIH0001S00	시노비안	SIH21045	2021.08.18	2023.08.17	2.00 	9,500 	10/14	8/24 발주요청		BP210795					
HIC0001S00	히알플러스 0.95mL 1S	HIC21002	2021.03.23	2024.03.22	3.00 	200 	10/15	8/24 발주요청		BP210796					
HIC0001S00	히알플러스 0.95mL 1S	HIC21005	2021.08.19	2024.08.18	3.00 	20,900 	10/15	8/24 발주요청		BP210797					
IVP1001S00	이브아르볼륨플러스	IVP21005	2021.04.15	2023.04.14	2.00 	6,937 	10/6	8/24 발주요청	중국 미출하재고 내수 전환	BP210798					
IVP1001S00	이브아르볼륨플러스	IVP21007	2021.05.13	2023.05.12	2.00 	7,290 	10/15	8/24 발주요청	중국 미출하재고 내수 전환+수출 잔여수량	BP210799					
