배치번호	Cell-S	Cell-H	RWP-1	RWP-2	RWP-3	RWP-4
BSP22057	117.2	100.0 	100.0 	86.1 	86.1 	96.5 
BSP22058	106.9	103.4 	93.1 	89.7 	86.2 	100.0 
BSP22059	111.2	96.4 	96.4 	92.7 	92.7 	100.0 
BSP22060	103.1	100.0 	103.1 	93.8 	90.6 	93.8 
BSP22061	103.7	100.0 	100.0 	96.3 	92.6 	103.7 
BSP22062	109.7	96.8 	90.3 	83.9 	83.9 	93.6 
BSP22063	108	100.0 	100.0 	100.0 	100.0 	108.0 
BSP22064	115.2	87.8 	90.9 	87.8 	81.8 	87.8 
BSP22065	96.6	96.6 	96.6 	96.6 	100.4 	108.2 
BSP22066	126.7	103.3 	103.3 	96.7 	86.7 	100.0 
BSP22067	107.7	103.9 	100.0 	96.2 	96.2 	103.9 
BSP22068	103.5	103.5 	96.5 	93.2 	89.7 	96.5 
BSP22069	110.7	103.5 	96.4 	89.3 	89.3 	96.4 
BSP22070	109.4	78.1 	100.0 	87.4 	78.1 	93.7 
BSP22071	114.2	96.4 	107.1 	89.3 	92.8 	100.0 
BSP22072	110.3	100.0 	93.1 	86.2 	86.2 	96.5 
BSP22073	103.8	103.8 	103.8 	96.2 	96.2 	103.8 
BSP22074	117.2	103.5 	96.5 	96.5 	86.2 	96.5 
BSP22075	114.3	107.1 	110.7 	92.9 	89.3 	100.0 
BSP22076	113.4	110.0 	100.0 	100.0 	93.4 	100.0 
BSP22077	113.8	100.0 	93.1 	89.6 	86.2 	89.6 
BSP22078	110.8	103.6 	100.0 	89.3 	89.3 	103.6 
BSP22079	119.2	111.6 	111.6 	103.8 	96.2 	103.8 
BSP22080	100	100.0 	100.0 	89.3 	92.8 	100.0 
BSP22081	103.5	103.5 	100.0 	96.4 	89.3 	92.8 
BSP22082	111.1	103.7 	96.3 	96.3 	92.6 	100.0 
BSP22083	119.1	103.8 	100.0 	88.4 	92.3 	103.8 
BSP22084	103.6	100.0 	96.5 	92.9 	82.1 	100.0 
BSP22085	107	103.5 	96.6 	96.6 	89.7 	93.1 
BSP22086	110.7	110.7 	103.5 	92.9 	92.9 	100.0 
BSP22087	114.3	107.1 	103.6 	92.9 	89.3 	103.6 
BSP22088	117.2	106.8 	93.1 	86.2 	86.2 	96.5 
BSP22089	110	106.7 	100.0 	93.3 	90.0 	93.3 
BSP22090	118.5	111.1 	100.0 	92.6 	92.6 	100.0 
BSP22091	113.3	110.0 	100.0 	100.0 	96.6 	103.4 
BSP22092	107	96.6 	96.6 	89.7 	89.7 	96.6 
BSP22093	120.2	109.6 	91.9 	95.5 	88.4 	99.0 
BSP22094	103	94.0 	97.0 	81.9 	81.9 	84.9 
BSP22095	106.7	106.7 	100.0 	90.0 	83.4 	93.3 
BSP22096	125.1	114.4 	110.8 	103.6 	92.9 	100.0 
BSP22097	103.4	106.8 	96.5 	89.6 	86.2 	96.5 
BSP22098	107	103.5 	96.6 	89.7 	86.2 	96.6 
BSP22099	107	113.8 	110.3 	96.6 	96.6 	100.0 
BSP22100	110	96.7 	96.7 	90.0 	83.4 	86.7 
